Name,Description,Faction,Card Type,Unit Type,Rarity,Mana,Strength,Move
"Flaming Stream","Push back all enemy units in a target unit's column and deal 3 damage to them.","Ironclad Union","Spell"," ","Common","5","",""
"Fleshmenders","On play, give 6 strength to a random bordering friendly unit or structure.","Winter Pact","Unit","Dwarf ","Epic","7","4","2"
"Flooding the Gates","Deal 5 damage to all units bordering your base.","Neutral","Spell"," ","Rare","4","",""
"Fluffy Badboxers","After attacking, confuse all weaker enemy units.","Neutral","Unit","Feline ","Rare","5","6","1"
"Forgotten Souls","On play, command a random bordering friendly unit forward.","Swarm of the East","Unit","Undead ","Rare","3","1","1"
"Fort of Ebonrock","","Neutral","Structure"," ","Common","3","4",""
"Fortification Tonic","Give 2 strength to all friendly units surrounding a friendly structure.","Ironclad Union","Spell"," ","Rare","2","",""
"Freebooters","On play, draw 1 card.","Neutral","Unit","Pirate ","Common","3","2","0"
"Frosthexers","On play, freeze all bordering enemy units.","Winter Pact","Unit","Frostling ","Common","2","1","0"
"Frozen Core","At the start of your turn, gain 2 mana.","Winter Pact","Structure"," ","Rare","5","4",""
"Gift of the Wise","Gain 10 mana.","Winter Pact","Spell"," ","Epic","8","",""
"Gifted Recruits","","Neutral","Unit","Knight ","Common","2","1","1"
"Goldgrubbers","On play, replace a random non-Pirate card from your hand.","Neutral","Unit","Pirate ","Epic","4","4","1"
"Green Prototypes","On death, give 1 strength to a random surrounding enemy unit.","Neutral","Unit","Construct ","Rare","1","1","1"
"Greengale Serpents","Before attacking a unit, gives 1 strength to itself and a random friendly Dragon.","Ironclad Union","Unit","Dragon ","Rare","3","1","2"
"Greenwood Ancients","After surviving damage, gain 1 strength for each stronger enemy unit on the board.","Neutral","Unit","Elder ","Epic","4","3","1"
"Grim Couriers","","Swarm of the East","Unit","Undead ","Common","5","3","3"
"Hair-Raising Cats","On play, randomly force a surrounding confused enemy unit to attack a bordering enemy.","Neutral","Unit","Feline ","Common","3","3","0"
"Hairy Chestnuts","After surviving damage, drain up to 1 of the damage received from the enemy base.","Tribes of Shadowfen","Unit","Toad  Elder","Epic","6","5","0"
"Harpies of the Hunt","","Tribes of Shadowfen","Unit","Raven ","Common","3","4","0"
"Harvesters of Souls","When attacking a weaker unit, add a 5 strength copy of that card to your deck.","Neutral","Unit","Undead ","Epic","5","5","1"
"Head Start","Spawn a 3 strength Satyr on a random tile in your furthest row.","Swarm of the East","Spell"," ","Rare","2","",""
"Hearthguards","When played bordering a friendly structure or base, gain 3 strength.","Neutral","Unit","Dwarf ","Epic","6","3","2"
"Heliotroopers","On play, poison itself.","Tribes of Shadowfen","Unit","Toad ","Common","3","3","1"
"Herald's Hymn","Give 1 strength to a target friendly unit. Command all friendly units in its row forward.","Swarm of the East","Spell"," ","Common","7","",""
"Heroic Soldiers","","Neutral","Unit","Knight ","Common","5","5","1"
"High Priestess Klaxi","On play, destroy all units with the lowest strength and spawn 5 strength Ravens there.","Tribes of Shadowfen","Unit","Raven  Hero","Legendary","8","5","0"
"Hunter's Vengeance","Randomly deal 2 damage to one unit of each unit type.","Neutral","Spell"," ","Epic","2","",""
"Iced Droplings","","Winter Pact","Unit","Frostling ","Common","6","7","1"
"Icicle Burst","Freeze a  target enemy unit. If it is already frozen, deal 8 damage to it instead.","Winter Pact","Spell"," ","Common","1","",""
"Joust Champions","Before attacking a unit or structure, deal 3 additional damage to it.","Neutral","Unit","Knight ","Rare","8","3","2"
"Kindred's Grace","Give 6 strength to a target friendly unit and 2 strength to all others with the same unit type.","Neutral","Spell"," ","Epic","6","",""
"Lady Rime","On play, spend your remaining mana and gain 2 strength for each.","Winter Pact","Unit","Frostling  Hero","Legendary","6","5","1"
"Lasting Remains","After attacking, move forward.","Swarm of the East","Unit","Undead ","Rare","7","8","1"
"Laurus, King in Exile","Before attacking an enemy unit, force all enemy units bordering it with 4 or less strength to attack it.","Neutral","Unit","Feline  Hero","Legendary","5","5","1"
"Lawless Herd","","Neutral","Unit","Satyr ","Common","2","2","0"
"Lich Summoners","After attacking, spawn a 3 strength Undead on the tile behind.","Neutral","Unit","Undead ","Epic","4","3","1"
"Limelimbs","","Tribes of Shadowfen","Unit","Toad ","Common","3","1","2"
"Linked Golems","When played bordering a friendly Construct, both gain 1 strength.","Ironclad Union","Unit","Construct ","Epic","3","2","1"
"Lucky Charmers","On play, gain 3 strength for each Pirate in your hand.","Neutral","Unit","Pirate ","Rare","6","3","1"
"Ludic Matriarchs","When played bordering exactly 1 friendly Dragon, spawn 1 strength Dragons on all tiles bordering either.","Neutral","Unit","Dragon ","Epic","6","5","0"
"Marked as Prey","Deal 5 damage to a target poisoned unit. If that kills it, spawn a 5 strength Raven there.","Tribes of Shadowfen","Spell"," ","Rare","4","",""
"Mech Workshop","At the start of your turn, spawn a 2 strength Construct on the tile in front.","Ironclad Union","Structure"," ","Common","4","3",""
"Mechanical Workers","On play, on the tile behind build a 3 strength Workshop which spawns 2 strength Constructs.","Ironclad Union","Unit","Rodent ","Rare","6","4","1"
"Melodious Sisters","Before attacking a confused unit, deal up to 4 of its strength as damage to all enemies bordering it.","Neutral","Unit","Feline ","Epic","4","4","1"
"Midwinter Chaos","Targets enemy units with 4 or less strength. Destroy all that are frozen and freeze the others.","Winter Pact","Spell"," ","Rare","4","",""
"Mindless Horde","","Swarm of the East","Unit","Satyr ","Common","3","4","0"
"Mischiefs","On play, deal 1 damage to the enemy base.","Swarm of the East","Unit","Undead ","Common","4","2","1"
"Moment's Peace","Give 4 strength to a target friendly unit or structure. Freeze all surrounding enemy units.","Winter Pact","Spell"," ","Rare","5","",""
"Moonlit Aerie","At the start of your turn, give 1 strength to all friendly Satyrs.","Swarm of the East","Structure"," ","Common","3","3",""
"Mystwives","When played bordering a stronger friendly unit, gain 4 strength.","Winter Pact","Unit","Dwarf ","Epic","4","3","1"
"Needle Blast","Deal 2 damage to 2 random enemies.","Neutral","Spell"," ","Rare","6","",""
"Northsea Dog","When played as the last card in your hand, gain 5 strength.","Neutral","Unit","Pirate ","Rare","2","1","0"
"Obliterators","","Swarm of the East","Unit","Undead ","Common","6","4","2"
"Obsidian Butchers","On play, drain the strength from all 1 strength units.","Tribes of Shadowfen","Unit","Toad ","Rare","5","2","2"
"Olf the Hammer","When played bordering your base, give it 3 strength.","Winter Pact","Unit","Dwarf  Hero","Legendary","9","6","2"
"Operators","","Ironclad Union","Unit","Construct ","Common","8","10","1"
"Overchargers","On play, deal 1 damage to the first enemy in front.","Ironclad Union","Unit","Rodent ","Common","4","2","1"
"Ozone Purifiers","On play, push a random bordering enemy unit away.","Ironclad Union","Unit","Rodent ","Common","2","1","0"
"Pan Heralds","On play, give 1 strength to all surrounding friendly units.","Swarm of the East","Unit","Satyr ","Common","4","3","0"
"Personal Servers","On play, give 2 strength to another random friendly unit.","Neutral","Unit","Construct ","Common","3","1","1"
"Petrified Fossils","After surviving damage, command all friendly units with equal or less strength to move forward.","Swarm of the East","Unit","Undead  Elder","Rare","5","4","1"
"Pillars of Doom","At the start of your turn, deal 2 damage to the enemy base.","Swarm of the East","Structure"," ","Epic","5","4",""
"Potion of Growth","Give 2 strength to a target friendly unit, then vitalize it.","Neutral","Spell"," ","Common","3","",""
"Powder Tower","At the start of your turn, this explodes and deals 2 damage to all enemies.","Neutral","Structure"," ","Rare","6","3",""
"Prime Oracle Bragda","After surviving damage, increase the strength of all weaker friendly units to be equal to this.","Neutral","Unit","Elder  Hero","Legendary","6","5","1"
"Project PH03-NIX","When this dies not bordering any base, randomly respawn at your base with 5 strength.","Ironclad Union","Unit","Construct  Hero","Legendary","6","5","1"
"Queen of Herds","On play, randomly play up to 1 Common or Rare Satyr from your deck on a tile in its row.","Swarm of the East","Unit","Undead  Hero","Legendary","7","6","0"
"Rain of Frogs","Spawn a 1 strength Toad on 4 random tiles.","Tribes of Shadowfen","Spell"," ","Epic","3","",""
"Rapid Mousers","","Neutral","Unit","Feline ","Common","4","1","3"
"Razor-Sharp Lynxes","If played bordering an enemy gain 1 strength, else gain 1 speed.","Neutral","Unit","Feline ","Common","4","2","1"
"Restless Goats","On death, deal 2 damage to your base.","Swarm of the East","Unit","Satyr ","Epic","2","1","2"
"Rimelings","On play, gain 3 mana.","Winter Pact","Unit","Frostling ","Common","5","2","1"
"Rockworkers","On play, build a 4 strength Fort on a random bordering tile.","Winter Pact","Unit","Dwarf ","Common","5","4","0"
"Rogue Sheep","On death, deal 1 damage to all enemy units and structures. Add 0-1 damage for up to 1 Pirate in hand.","Neutral","Unit","Pirate  Hero","Legendary","6","2","0"
"Salty Outcasts","","Neutral","Unit","Toad ","Common","7","5","2"
"Scrapped Planners","After surviving damage, set strength to 3.","Ironclad Union","Unit","Construct  Elder","Rare","4","4","1"
"Seasick Bouncers","","Neutral","Unit","Pirate ","Common","6","8","0"
"Shady Ghoul","On death, spawn a 1 strength Satyr on a random bordering tile.","Swarm of the East","Unit","Undead ","Rare","3","1","2"
"Sharpfist Exiles","On play, gain 2 strength for every enemy unit on the board.","Neutral","Unit","Toad ","Rare","7","2","1"
"Siege Assembly","At the start of your turn, deal 3 damage to the first enemy in front.","Ironclad Union","Structure"," ","Rare","5","3",""
"Siegebreakers","On play, deal 4 damage to all surrounding enemy structures.","Neutral","Unit","Satyr ","Rare","4","4","1"
"Siren of the Seas","Before attacking a unit, reduce its strength to 3.","Neutral","Unit","Hero ","Legendary","9","6","3"
"Sleetstompers","","Winter Pact","Unit","Dwarf ","Common","8","6","2"
"Slyboots","On play, confuse up to 1 bordering enemy unit.","Neutral","Unit","Feline ","Rare","4","4","1"
"Snake Eyes","When played with a full hand, discard all cards and draw 3 new cards.","Neutral","Unit","Pirate ","Epic","5","6","0"
"Snowmasons","On death, give 4 strength spread randomly among all surrounding friendly units.","Neutral","Unit","Dwarf ","Rare","4","2","1"
"Soulcrushers","Before attacking a weaker unit, destroy it instantly.","Tribes of Shadowfen","Unit","Raven ","Epic","5","5","1"
"Sound Drivers","On play, push forward the friendly unit on the tile in front.","Ironclad Union","Unit","Rodent ","Rare","3","3","0"
"Spare Dragonling","On death, give 3 strength to a random friendly Dragon.","Neutral","Unit","Dragon ","Rare","2","1","1"
"Spellbinder Zhevana","On play, destroy all frozen enemies in front with 4 or less strength. Gain 4 mana for each unit destroyed.","Winter Pact","Unit","Dragon  Hero","Legendary","4","4","0"
"Stoic Protectors","On play, disable the ability of 1 bordering enemy unit.","Neutral","Unit","Ancient ","Epic","4","3","0"
"Summon Militia","Randomly spawn a Knight with 1 strength.","Neutral","Spell"," ","Common","1","",""
"Sunbeam Serpents","On play, gain the strength of the strongest friendly Dragon.","Tribes of Shadowfen","Unit","Dragon ","Epic","5","2","1"
"Swarmcallers","On play, gain 2 strength for each bordering friendly Satyr.","Swarm of the East","Unit","Satyr ","Rare","4","2","1"
"Sweetcap Kittens","On play, confuse all enemy units in front.","Neutral","Unit","Feline ","Common","2","1","0"
"Tegor the Vengeful","On death, do a random effect: give 6 strength, deal 5 damage or spawn a 4 strength unit.","Neutral","Unit","Dragon  Hero","Legendary","6","4","2"
"Temple Guardians","When played bordering your base, spawn 4 strength Knights on all tiles in the same row.","Neutral","Unit","Knight ","Epic","8","6","0"
"Temple of Focus","At the start of your turn, deconfuse and give 1 additional move to all friendly units in front. Deal 1 damage to itself when the boosted unit reaches the enemy base.","Swarm of the East","Structure"," ","Epic","3","3",""
"Terrific Slayers","Before attacking a Dragon, deal 5 additional damage.","Neutral","Unit","Knight ","Rare","4","2","2"
"The Hearth","At the start of your turn, give 2 strength to another friendly unit or structure.","Winter Pact","Structure"," ","Common","3","3",""
"Tode the Elevated","After attacking, jump in front of a random enemy unit or structure and gain 3 strength.","Tribes of Shadowfen","Unit","Toad  Hero","Legendary","4","3","1"
"Toxic Sacrifice","Destroy a target friendly unit. Deal 2 damage to all surrounding units and poison them.","Tribes of Shadowfen","Spell"," ","Common","2","",""
"Trekking Aldermen","After surviving damage, deal 2 damage spread randomly among enemy units on the board.","Neutral","Unit","Elder ","Rare","3","3","0"
"Trueshot Post","At the start of your turn, randomly deal 4 damage to the most forward enemy unit or structure.","Neutral","Structure"," ","Epic","5","4",""
"Twilight Prowlers","When played bordering your base, gain 3 speed.","Neutral","Unit","Feline ","Common","6","7","0"
"Ubass the Hunter","On play, deal 1 damage to a random enemy for each surrounding unit type.","Neutral","Unit","Hero ","Legendary","5","5","0"
"Underground Spring","At the start of your turn, remove 1 strength from itself and give it to your base.","Winter Pact","Structure"," ","Rare","4","4",""
"Unhealthy Hysteria","Force a target enemy unit with 4 or less strength to attack a random bordering enemy.","Neutral","Spell"," ","Rare","3","",""
"Unstable Build","At the start of your turn, deals 2 damage to itself.","Ironclad Union","Structure"," ","Common","2","5",""
"Untamed Cultists","","Tribes of Shadowfen","Unit","Raven ","Common","7","10","0"
"Upgrade Point","At the start of your turn, give 2 strength to all surrounding friendly Constructs.","Ironclad Union","Structure"," ","Epic","3","4",""
"Venomfall Spire","At the start of your turn, poison 1 random enemy unit.","Tribes of Shadowfen","Structure"," ","Rare","4","3",""
"Veterans of War","","Neutral","Unit","Knight ","Common","7","8","1"
"Victors of the Melee","When attacking, deal 2 damage to all surrounding enemy units and structures.","Neutral","Unit","Knight ","Rare","6","3","1"
"Vindicators","When attacking, deal 1 damage to the enemy base.","Swarm of the East","Unit","Undead ","Epic","6","3","3"
"Visions of the Grove","On play, for every 4 remaining mana deal 1 damage to all enemies in front.","Winter Pact","Unit","Frostling ","Rare","8","8","0"
"Voidsurgers","When played with at least 3 surrounding enemies, deal 2 damage to them.","Neutral","Unit","Frostling ","Rare","5","6","0"
"Wandering Wyrms","When played bordering a friendly Dragon, deal 3 damage to the strongest enemy unit.","Tribes of Shadowfen","Unit","Dragon ","Rare","3","3","0"
"Warfront Runners","","Neutral","Unit","Knight ","Common","4","2","2"
"Westwind Sailors","","Neutral","Unit","Pirate ","Common","3","2","1"
"Wetland Deceivers","On play, destroy all surrounding units with 1 strength.","Neutral","Unit","Raven ","Rare","3","3","0"
"Wild Saberpaws","If played with no surrounding enemies gain 2 speed, else with no bordering enemies gain 1 speed.","Neutral","Unit","Feline ","Epic","2","1","0"
"Windmakers","Before attacking a stronger unit, push it away and deal 3 damage to it.","Ironclad Union","Unit","Rodent ","Rare","4","2","2"
"Wisp Cloud","Before attacking a frozen enemy, deal 4 damage to all surrounding frozen enemies.","Winter Pact","Unit","Frostling ","Rare","3","1","1"
"Witches of the Wild","On play, drain 1 strength from all bordering units.","Tribes of Shadowfen","Unit","Raven ","Common","4","2","1"
"Wolfcloaks","On play, lose 1 strength for every other friendly unit on the board.","Winter Pact","Unit","Dwarf ","Rare","6","6","2"
"Xuri, Lord of Life","On play, fly to the first empty tile in front. Give 3 strength to all friendly units passed and vitalize them.","Swarm of the East","Unit","Dragon  Hero","Legendary","5","3","0"
"Yowling Weavers","When attacking, randomly destroy a friendly non-Dragon unit.","Winter Pact","Unit","Dragon ","Epic","3","4","1"
"Boatswain","","Neutral","Unit","Pirate ","Common","2","1","0"
"Bravefoot","","Winter Pact","Unit","Dwarf ","Common","4","1","2"
"Corsair","","Neutral","Unit","Pirate ","Common","3","1","1"
"Cult of the Sky","","Tribes of Shadowfen","Unit","Raven ","Common","4","3","0"
"Dead Wanderer","","Swarm of the East","Unit","Undead ","Common","5","2","2"
"Elite Deathguards","","Swarm of the East","Unit","Undead ","Common","4","2","1"
"Frenzied Troops","","Ironclad Union","Unit","Rodent ","Common","5","2","2"
"Gunner","","Neutral","Unit","Pirate ","Common","4","1","2"
"Jade Speedster","","Tribes of Shadowfen","Unit","Toad ","Common","4","1","2"
"Lonely Witch","","Tribes of Shadowfen","Unit","Raven ","Common","4","2","1"
"Lost Faun","","Swarm of the East","Unit","Satyr ","Common","3","1","1"
"Makeshifter","","Ironclad Union","Unit","Construct ","Common","3","2","0"
"Mudgrinders","","Swarm of the East","Unit","Satyr ","Common","2","1","0"
"Plain Helper","","Ironclad Union","Unit","Rodent ","Common","3","1","1"
"Privateer","","Neutral","Unit","Pirate ","Common","4","2","1"
"Rough Patchers","","Ironclad Union","Unit","Construct ","Common","5","3","1"
"Saplings","","Tribes of Shadowfen","Unit","Toad ","Common","2","1","0"
"Silent Rimes","","Winter Pact","Unit","Frostling ","Common","4","3","0"
"Sleetrunners","","Winter Pact","Unit","Dwarf ","Common","6","3","2"
"Sparkling","","Winter Pact","Unit","Frostling ","Common","5","3","1"
